review,label
"The product is excellent and works perfectly",1
"Very bad quality and poor performance",0
"I am extremely satisfied with this purchase",1
"Worst product I have ever bought",0
"Great value for money",1
"Completely disappointed with the product",0
"The service was amazing and fast",1
"Not worth the money",0
"Highly recommend this product",1
"The product stopped working after one day",0
"Excellent build quality and performance",1
"Terrible experience, will not buy again",0
"I love this product",1
"Very poor quality",0
"Fantastic product, exceeded expectations",1
"Customer support was useless",0
"Happy with the purchase",1
"Defective item received",0
"Works exactly as described",1
"Bad experience overall",0

